buoy_day_ID,buoy,day,latitude,longitude,zon_winds,mer_winds,humidity,airtemp,s_s_temp,text
1,1,1,8.96,-140.32,-6.3,-6.4,83.5,27.32,27.57,sea salt
2,1,2,8.95,-140.32,-5.7,-3.6,86.4,26.7,27.62,sea salt
3,1,3,8.96,-140.32,-6.2,-5.8,83,27.36,27.68,sea salt
4,1,4,8.96,-140.34,-6.4,-5.3,82.2,27.32,27.7,sea salt
5,1,5,8.96,-140.33,-4.9,-6.2,87.3,27.09,27.85,sea salt
6,1,6,8.96,-140.33,-6.3,-4.9,91.5,26.82,27.98,sea salt
7,1,7,8.97,-140.32,-6.7,-3.7,94.1,26.62,28.04,sea salt
8,1,8,8.96,-140.33,-6.3,-4.8,92,26.89,27.98,sea salt
9,1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44,28.13,sea salt
10,1,10,8.97,-140.32,-4.2,-2.5,87.3,26.62,28.14,sea salt
11,1,11,8.96,-140.32,-6.8,-2.4,86,27.6,28.09,sea salt
12,1,12,8.96,-140.33,-7.1,-3.2,82.2,27.87,28.15,sea salt
13,1,13,8.96,-140.33,-6.7,-4.7,81.3,27.75,28.19,sea salt
14,2,1,4.93,-139.87,-2.9,-1.2,87.6,26.84,28.35,sea salt
15,2,2,4.92,-139.86,0.4,-1.6,82.3,27.3,28.48,sea salt
16,2,3,4.92,-139.87,-4,-4.6,83,28,28.61,sea salt
17,2,4,4.92,-139.88,-6.3,-3.2,87.6,27.61,28.55,sea salt
18,2,5,4.93,-139.87,-4.1,3.3,84.6,27.69,28.35,sea salt
19,2,6,4.93,-139.87,-5.4,1.9,81.9,27.96,28.48,sea salt
20,2,7,4.93,-139.86,-4.7,0.9,80.3,28.08,28.54,sea salt
21,2,8,4.92,-139.87,-2.5,-0.9,84.2,27.61,28.72,sea salt
22,2,9,4.93,-139.87,-5.1,2,84.6,27.42,28.66,sea salt
23,2,10,4.93,-139.86,-1.3,0.7,80,27.65,28.73,sea salt
24,2,11,4.93,-139.85,-5.4,-1.2,83.4,27.89,28.84,sea salt
25,2,12,4.93,-139.86,-6.2,-4,82.7,27.77,28.63,sea salt
26,2,13,4.93,-139.87,-4.8,2.6,82.3,27.42,28.48,sea salt
27,3,1,2,-139.95,-0.3,3.2,86.8,27.1,27.85,sea salt
28,3,2,2,-139.96,-1.6,1.1,83.6,27.42,28.06,sea salt
29,3,3,1.99,-139.97,-3.9,-2.5,87.5,27.3,28.01,sea salt
30,3,4,1.98,-139.96,-4.7,1.4,88.3,26.98,27.95,sea salt
31,3,5,1.99,-139.97,-5.3,2.5,82.5,27.14,27.99,sea salt
32,3,6,2,-139.97,-6.8,0.5,82.8,27.46,27.89,sea salt
33,3,7,2,-139.97,-5.6,0.5,84,27.02,27.49,sea salt
34,3,8,2,-139.96,-3.4,2,87.2,26.55,27.27,sea salt
35,3,9,2,-139.97,-4.5,2.3,82.1,25.59,26.97,sea salt
36,3,10,2,-139.96,-4.1,0.4,79.3,25.47,27.07,sea salt
37,3,11,1.99,-139.97,-5.8,0.7,83.2,26.27,27.37,sea salt
38,3,12,2,-139.97,-7.2,2.8,83.2,26.23,27.26,sea salt
39,3,13,2,-139.98,-5.8,0.5,78.1,25.79,27.1,sea salt
40,3,14,2,-139.99,-5.4,-0.4,77.8,25.91,26.85,sea salt
41,4,1,-0.01,-139.94,0.7,0.3,93.1,26.54,26.42,sea salt
42,4,2,-0.02,-139.93,-1.5,-0.4,92.3,26.51,26.49,sea salt
43,4,3,-0.01,-139.94,-3.4,-1.4,92.3,26.53,26.42,sea salt
44,4,4,-0.02,-139.94,-4.3,1.3,92.3,26.18,26.02,sea salt
45,4,5,-0.02,-139.94,-3.7,0.4,92.3,25.79,25.77,sea salt
46,4,6,-0.01,-139.94,-5.1,-2.5,92.3,26.03,25.7,sea salt
47,4,7,-0.02,-139.94,-5.4,-2.1,88.1,25.5,25.15,sea salt
48,4,8,-0.02,-139.94,-3.6,-0.6,90.4,25.04,24.82,sea salt
49,4,9,-0.02,-139.94,-3.3,0.3,88.8,24.63,24.51,sea salt
50,4,10,-0.02,-139.93,-3,-2.7,87.3,24.51,24.36,sea salt
51,4,11,-0.02,-139.93,-4.7,-1,90.4,24.19,24.15,sea salt
52,4,12,-0.02,-139.93,-5.2,0.2,87.3,24.02,24.1,sea salt
53,4,13,-0.01,-139.94,-4.7,-1,88.4,24.21,24.15,sea salt
54,5,1,-2.02,-139.96,1.7,1.2,87.3,27.36,28.71,sea salt
55,5,2,-2,-139.96,-1.1,-1.9,86.9,27.28,28.43,sea salt
56,5,3,-2.01,-139.97,-3.7,-2.7,84.8,27.43,28.47,sea salt
57,5,4,-2.01,-139.97,-4.4,-3,81.9,27.75,28.83,sea salt
58,5,5,-2.02,-139.97,-3.9,-1.4,83.6,27.91,28.92,sea salt
59,5,6,-2.02,-139.96,-5.8,-3.4,88.9,27.75,28.71,sea salt
60,5,7,-2.03,-139.97,-4.5,-5.2,87.7,27.08,28.27,sea salt
61,5,8,-2.02,-139.97,-3.6,-4.5,83.1,26.6,27.7,sea salt
62,5,9,-2.02,-139.96,-2.6,-2.3,84.4,26.41,27.27,sea salt
63,5,10,-2.02,-139.96,-1.2,-5.1,88.5,25.93,27,sea salt
64,5,11,-2.01,-139.96,-4,-4.3,84.4,25.54,26.77,sea salt
65,5,12,-2.01,-139.96,-4,-3.1,84.8,25.69,26.87,sea salt
66,5,13,-2.02,-139.96,-2.8,-4.5,89.3,25.61,26.86,sea salt
67,5,14,-2.02,-139.97,,,,25.26,26.55,sea salt
68,6,1,-5.01,-139.92,-0.6,3.5,83.8,28.02,28.94,sea salt
69,6,2,-5.01,-139.91,0.2,-2.5,85.4,27.13,28.85,sea salt
70,6,3,-5.01,-139.92,-3.9,-3.4,79.8,28.38,29.03,sea salt
71,6,4,-5.01,-139.92,-4.2,-2.5,79.4,28.18,28.98,sea salt
72,6,5,-5.01,-139.92,-3,0.3,82.6,27.87,29.04,sea salt
73,6,6,-5.01,-139.92,-7.9,1.1,78.6,28.45,29.08,sea salt
74,6,7,-5.01,-139.92,-5.5,0.5,76.1,28.53,29.15,sea salt
75,6,8,-5.01,-139.92,-3.1,-1.7,85.8,27.16,29.05,sea salt
76,6,9,-5.01,-139.91,-3.5,-0.8,84.2,27.48,28.99,sea salt
77,6,10,-5.01,-139.92,-3.3,-0.7,81.8,27.91,29.05,sea salt
78,6,11,-5,-139.91,-2.8,-4.9,79.8,28.02,29,sea salt
79,6,12,-5.01,-139.92,-4,-1.5,82.2,27.59,28.95,sea salt
80,6,13,-5.01,-139.92,-7.8,1,76.1,28.34,28.88,sea salt
81,6,14,-5.01,-139.92,,,,27.44,28.85,sea salt
82,7,1,5.15,-124.87,-4.8,2.5,90.9,27.85,28.71,sea salt
83,7,2,5.14,-124.86,-2.2,4,86.6,28.33,28.64,sea salt
84,7,3,5.14,-124.87,-1.6,0.5,88.5,27.37,28.66,sea salt
85,7,4,5.15,-124.87,-3,1.8,89.3,27.53,28.68,sea salt
86,7,5,5.14,-124.87,-4.6,3.3,83.1,27.81,28.61,sea salt
87,7,6,5.14,-124.87,-4.9,1.6,84.6,28.01,28.62,sea salt
88,7,7,5.14,-124.87,-4.6,2.4,88.5,27.45,28.77,sea salt
89,7,8,5.15,-124.87,-2.2,5.1,86.2,27.25,28.81,sea salt
90,7,9,5.14,-124.87,-1.8,3.8,83.1,27.53,28.79,sea salt
91,7,10,5.14,-124.87,-3.8,3.4,81.1,27.29,28.75,sea salt
92,7,11,5.14,-124.87,-4.2,2.4,80.3,27.53,28.7,sea salt
93,7,12,5.14,-124.87,-3.4,2.1,80.3,27.37,28.83,sea salt
94,7,13,5.14,-124.87,-3.4,3.1,81.1,27.29,28.93,sea salt
95,8,1,1.95,-125.07,-7.1,1.1,79.5,27.14,27.9,sea salt
96,8,2,1.96,-125.07,-3.4,1.6,79.1,26.94,27.12,sea salt
97,8,3,1.94,-125.07,-3.5,0.8,84.9,26.62,27.03,sea salt
98,8,4,1.95,-125.07,-5.8,1.5,84.9,25.89,26.18,sea salt
99,8,5,1.96,-125.07,-4.9,2.2,84.1,25.29,25.82,sea salt
100,8,6,1.95,-125.07,-5.9,0.7,81.6,25.21,25.56,sea salt
101,8,7,1.94,-125.07,-6,1.4,81.2,24.85,25.55,sea salt
102,8,8,1.95,-125.07,-4.7,2,82.4,24.45,25.34,sea salt
103,8,9,1.95,-125.07,-4.7,2,82.8,24.41,25.05,sea salt
104,8,10,1.96,-125.07,-4.7,1.2,81.2,24.49,24.91,sea salt
105,8,11,1.95,-125.07,-4.6,0.7,82.8,24.49,24.84,sea salt
106,8,12,1.94,-125.07,-4.7,1.2,80.3,24.08,24.92,sea salt
107,8,13,1.96,-125.07,-4.5,1.1,79.9,23.84,25.26,sea salt
108,9,1,-0.2,-124.37,-3.6,0,89.8,25.09,24.62,sea salt
109,9,2,-0.21,-124.37,-0.3,-0.6,89.4,25.39,24.82,sea salt
110,9,3,-0.22,-124.36,-1,-0.9,89.4,25.75,25.59,sea salt
111,9,4,-0.21,-124.39,-4.2,1,85.6,25.54,25.21,sea salt
112,9,5,-0.2,-124.39,-3.6,1.2,85.2,25.13,24.71,sea salt
113,9,6,-0.2,-124.39,-4.3,-0.1,84.4,24.7,24.1,sea salt
114,9,7,-0.2,-124.4,-3.8,0,85.6,24.03,23.72,sea salt
115,9,8,-0.19,-124.39,-3.1,-0.7,84.4,23.94,23.82,sea salt
116,9,9,-0.2,-124.39,-3.2,-0.3,84.4,23.87,23.7,sea salt
117,9,10,-0.2,-124.38,-2.6,-1.2,86.5,23.59,23.28,sea salt
118,9,11,-0.19,-124.38,-3.5,-0.6,84.8,23.28,22.79,sea salt
119,9,12,-0.19,-124.39,-3.1,0.7,84.4,22.72,22.44,sea salt
120,9,13,-0.19,-124.38,-3.6,0,84.8,22.74,22.56,sea salt
121,10,1,-2.03,-124.89,-5.3,-1.8,87,27.06,27.32,sea salt
122,10,2,-2.03,-124.89,-0.6,-2.4,89.9,26.51,27.18,sea salt
123,10,3,-2.04,-124.88,-0.3,-3.2,91.2,26.12,26.87,sea salt
124,10,4,-2.02,-124.89,-4,-1,89.5,26.43,26.82,sea salt
125,10,5,-2.03,-124.89,-4.6,-1.3,86.2,26.67,27.19,sea salt
126,10,6,-2.04,-124.9,-6.4,-2.8,82.5,26.71,27.13,sea salt
127,10,7,-2.04,-124.9,-5.9,-2,81.3,26.31,26.91,sea salt
128,10,8,-2.04,-124.9,-3.2,-2.7,85.4,25.92,26.7,sea salt
129,10,9,-2.04,-124.89,-4.4,-1.3,84.6,25.76,26.17,sea salt
130,10,10,-2.04,-124.89,-3.6,-2.2,87,25.57,25.98,sea salt
131,10,11,-2.04,-124.89,-3,-3.5,87.9,25.06,25.81,sea salt
132,10,12,-2.04,-124.89,-3.9,-1.8,83.3,25.06,25.41,sea salt
133,10,13,-2.03,-124.89,-2.7,-3.2,87.5,24.9,25.42,sea salt
134,11,1,-5.02,-124.94,-7.2,-0.9,87.1,28.09,28.19,sea salt
135,11,2,-5.01,-124.94,-6,0.1,85.6,28.36,28.23,sea salt
136,11,3,-5.02,-124.94,-6.7,-0.2,83,28.32,28.32,sea salt
137,11,4,-5.01,-124.94,-6,1.4,79.6,28.17,28.26,sea salt
138,11,5,-5.01,-124.94,-5.3,0.6,84.5,27.51,28.41,sea salt
139,11,6,-5.01,-124.94,-7.2,-2.8,82.2,28.05,28.46,sea salt
140,11,7,-5.02,-124.94,-5.5,-3.5,80,27.89,28.42,sea salt
141,11,8,-5.02,-124.95,-4.5,-2.2,83.4,27.82,28.25,sea salt
142,11,9,-5.02,-124.93,-2.5,-3.8,81.9,27.7,28.22,sea salt
143,11,10,-5.02,-124.94,-4.5,-3.7,80.7,27.97,28.17,sea salt
144,11,11,-5.02,-124.94,-2.8,-1.3,79.2,27.74,28.32,sea salt
145,11,12,-5.02,-124.93,-5.7,-2,85.2,27,28.21,sea salt
146,11,13,-5.01,-124.94,-7.6,1.4,75.5,27.82,28.05,sea salt
147,12,1,-7.97,-125.01,-8,0.7,79.6,28.29,,sea salt
148,12,2,-7.97,-125.01,-6.1,1,79.6,28.25,,sea salt
149,12,3,-7.97,-125.02,-6.2,1.8,76.6,28.05,,sea salt
150,12,4,-7.97,-125.02,-5.1,1,71.5,27.81,,sea salt
151,12,5,-7.97,-125.02,-6.2,0.4,76.2,27.97,,sea salt
152,12,6,-7.97,-125.02,-7.9,0.9,78.3,27.85,,sea salt
153,12,7,-7.97,-125.01,-6.6,0.8,83.5,27.18,,sea salt
154,12,8,-7.95,-125.01,-6.3,1,75.8,28.05,,sea salt
155,12,9,-7.96,-125.01,-6.2,1.6,82.6,27.38,,sea salt
156,12,10,-7.97,-125.01,-8.5,-0.3,78.8,27.85,,sea salt
157,12,11,-7.97,-125.01,-6.1,2.4,74.9,28.01,,sea salt
158,12,12,-7.96,-125.02,-7.7,2.6,79.6,27.42,,sea salt
159,12,13,-7.97,-125.02,-7.9,2.3,71.9,27.46,,sea salt
160,13,1,8.05,-110.15,-3.9,-1.2,,28.84,29.66,sea salt
161,13,2,8.05,-110.15,-0.4,4.2,,27.88,29.61,sea salt
162,13,3,8.04,-110.15,4.8,2.5,,28.63,29.6,sea salt
163,13,4,8.04,-110.16,2.3,-1.6,,27.87,29.58,sea salt
164,13,5,8.04,-110.16,0.5,-2.4,,29.27,29.91,sea salt
165,13,6,8.04,-110.15,0.6,-4,,29.26,29.99,sea salt
166,13,7,8.04,-110.15,1.4,-5.1,,28.92,29.89,sea salt
167,13,8,8.04,-110.15,1.2,-0.6,,28.9,29.9,sea salt
168,13,9,8.04,-110.15,3.9,0,,28.77,29.92,sea salt
169,13,10,8.05,-110.15,2.2,0.5,,28.2,29.82,sea salt
170,13,11,8.04,-110.16,2.9,-2.5,,29.35,30.08,sea salt
171,13,12,8.05,-110.16,1.9,1.4,,28.34,30.04,sea salt
172,13,13,8.05,-110.15,4.3,4.2,,27.92,29.87,sea salt
173,14,1,4.99,-109.96,-3.4,5.9,83.2,27.98,28.89,sea salt
174,14,2,4.98,-109.96,-3.1,5.3,79.5,28.02,28.84,sea salt
175,14,3,4.98,-109.96,1.4,5.8,81.6,27.7,28.75,sea salt
176,14,4,4.97,-109.96,3.1,3.5,80.7,27.51,28.6,sea salt
177,14,5,4.98,-109.96,-0.1,4.9,81.1,27.51,28.67,sea salt
178,14,6,4.97,-109.96,-0.5,4.7,80.7,27.55,28.74,sea salt
179,14,7,4.97,-109.96,-0.7,6,80.7,27.35,28.54,sea salt
180,14,8,4.97,-109.96,-1.3,6.3,80.3,27.11,28,sea salt
181,14,9,4.98,-109.96,-1.5,4.9,78.7,27.15,27.74,sea salt
182,14,10,4.98,-109.96,-2.3,4.2,79.9,27.19,27.6,sea salt
183,14,11,4.97,-109.96,-1.4,4.7,80.7,27.19,27.6,sea salt
184,14,12,4.98,-109.96,-0.3,6.1,81.1,26.91,27.63,sea salt
185,14,13,4.98,-109.96,-0.3,7.1,81.1,26.75,27.7,sea salt
186,15,1,2.08,-110.1,-6.1,3.5,86.9,26.35,26.89,sea salt
187,15,2,2.08,-110.1,-5.4,3.2,87.3,26.12,26.88,sea salt
188,15,3,2.08,-110.1,-1.2,3.7,89.8,25.53,26.3,sea salt
189,15,4,2.08,-110.1,0.4,2.6,88.2,25.45,26.09,sea salt
190,15,5,2.08,-110.11,-1.9,2.9,87.7,24.91,25.83,sea salt
191,15,6,2.07,-110.14,-3.6,2.7,89,24.91,25.84,sea salt
192,15,7,2.08,-110.11,-4.5,3.7,88.6,24.67,26.07,sea salt
193,15,8,2.08,-110.11,-5.2,4,86.5,24.75,26.16,sea salt
194,15,9,2.08,-110.1,-4.9,2.7,83.5,25.26,26.24,sea salt
195,15,10,2.08,-110.11,-4.1,1.5,84.8,25.18,26.18,sea salt
196,15,11,2.08,-110.1,-3.5,2.5,86.5,25.03,26.09,sea salt
197,15,12,2.08,-110.1,-2.8,4.1,86,24.17,25.47,sea salt
198,15,13,2.08,-110.1,-2.8,3.9,87.3,23.74,24.56,sea salt
199,16,1,-1.98,-110.01,-4.9,0.8,92.2,25.96,25.63,sea salt
200,16,2,-1.98,-110,-2.2,1.5,93,25.77,25.28,sea salt
201,16,3,-1.98,-110,-2.8,2.8,91.8,25.05,24.85,sea salt
202,16,4,-1.98,-110.01,-0.9,0.7,91.4,25.09,25.01,sea salt
203,16,5,-1.98,-110.01,-3.1,2.2,89.1,25.21,25.42,sea salt
204,16,6,-1.98,-110.01,-4.4,0.3,89.1,25.45,25.59,sea salt
205,16,7,-1.98,-110.01,-4.8,-0.1,87.5,25.45,25.66,sea salt
206,16,8,-1.98,-110,-4.5,0.7,88.3,25.45,25.34,sea salt
207,16,9,-1.98,-110,-3.3,-0.3,89.5,25.33,25.27,sea salt
208,16,10,-1.98,-110,-3.5,-0.7,90.6,25.09,25.08,sea salt
209,16,11,-1.98,-110,-2.9,-0.4,91,25.29,25.17,sea salt
210,16,12,-1.98,-110,-2.7,0,88.3,24.82,25.11,sea salt
211,16,13,-1.98,-110,-3.9,0.8,87.1,,,sea salt
212,17,1,-4.98,-109.98,-7.1,2.8,86.2,27.28,27.31,sea salt
213,17,2,-4.98,-109.99,-6,3.5,81.7,27.44,27.13,sea salt
214,17,3,-4.97,-109.99,-4.3,4.7,80.5,27.36,27.19,sea salt
215,17,4,-4.98,-109.99,-1.9,1.8,79.7,26.77,27.41,sea salt
216,17,5,-4.98,-109.99,-4.5,1.4,79.7,26.93,27.46,sea salt
217,17,6,-4.98,-109.98,-5.2,-0.9,82.1,26.62,27.19,sea salt
218,17,7,-4.98,-109.99,-5,-0.7,83.3,26.58,26.95,sea salt
219,17,8,-4.99,-109.99,-5.3,0,85,26.66,26.83,sea salt
220,17,9,-4.98,-109.99,-4.6,-1,85,26.66,26.79,sea salt
221,17,10,-4.98,-109.99,-5.4,-1,85,26.54,26.67,sea salt
222,17,11,-4.98,-109.99,-4.6,0.7,84.1,26.27,26.56,sea salt
223,17,12,-4.98,-109.99,-3.2,-1.2,88.2,25.88,26.64,sea salt
224,17,13,-4.98,-109.99,-5.2,1.9,84.6,26.62,26.64,sea salt
225,18,1,-8.05,-109.94,,,80.1,27.72,27.99,sea salt
226,18,2,-8.05,-109.92,,,78.4,27.56,28.02,sea salt
227,18,3,-8.05,-109.93,,,77.3,27.44,28.1,sea salt
228,18,4,-8.05,-109.93,,,79.8,27.08,28.15,sea salt
229,18,5,-8.05,-109.93,,,83.2,26.72,28.09,sea salt
230,18,6,-8.1,-109.94,,,85.3,26.64,27.99,sea salt
231,18,7,-8.05,-109.94,,,87.8,26.76,27.97,sea salt
232,18,8,-8.05,-109.93,,,84.3,27.4,27.97,sea salt
233,18,9,-8.05,-109.93,,,87.8,26.88,28.01,sea salt
234,18,10,-8.05,-109.93,,,80.8,27.56,27.99,sea salt
235,18,11,-8.05,-109.93,,,79.8,27.24,28.01,sea salt
236,18,12,-8.05,-109.93,,,80.8,27.04,28.01,sea salt
237,18,13,-8.05,-109.93,,,79.8,27.32,27.93,sea salt
238,19,1,8.06,-94.96,-2.3,2.4,86.4,29.14,,sea salt
239,19,2,8.06,-94.95,1.7,-0.3,83.7,29.24,,sea salt
240,19,3,8.05,-94.96,0.9,1,87.1,28.53,,sea salt
241,19,4,8.05,-94.95,7,1.3,84.4,29.18,,sea salt
242,19,5,8.05,-94.96,3.3,2.8,83.7,29.32,,sea salt
243,19,6,8.06,-94.96,2.8,1.8,84.8,29.09,,sea salt
244,19,7,8.06,-94.95,0.4,1.1,83.7,28.97,,sea salt
245,19,8,8.06,-94.98,2,0.8,83.7,28.66,,sea salt
246,19,9,8.06,-94.95,2.5,1.3,84.1,28.67,,sea salt
247,19,10,8.05,-94.95,2.6,0.2,84.8,28.73,,sea salt
248,19,11,8.05,-94.95,2,-1.2,79.8,29.32,,sea salt
249,19,12,8.05,-94.95,2.8,-2.1,85.2,28.75,,sea salt
250,19,13,8.06,-94.95,3.9,1.4,87.9,27.74,,sea salt
251,20,1,5.02,-94.95,,,88.6,27.5,,sea salt
252,20,2,5.02,-94.95,,,81.5,28.61,,sea salt
253,20,3,5.02,-94.95,,,88.2,,,sea salt
